statefp,state,maptype,countyfp,county,cd
01,AL,Compact,01001,Autauga County,07
01,AL,Compact,01003,Baldwin County,01
01,AL,Compact,01005,Barbour County,02
01,AL,Compact,01007,Bibb County,07
01,AL,Compact,01009,Blount County,04
01,AL,Compact,01011,Bullock County,02
01,AL,Compact,01013,Butler County,07
01,AL,Compact,01015,Calhoun County,03
01,AL,Compact,01017,Chambers County,02
01,AL,Compact,01019,Cherokee County,03
01,AL,Compact,01021,Chilton County,07
01,AL,Compact,01023,Choctaw County,07
01,AL,Compact,01025,Clarke County,07
01,AL,Compact,01027,Clay County,02
01,AL,Compact,01027,Clay County,03
01,AL,Compact,01029,Cleburne County,03
01,AL,Compact,01031,Coffee County,02
01,AL,Compact,01033,Colbert County,04
01,AL,Compact,01035,Conecuh County,01
01,AL,Compact,01035,Conecuh County,07
01,AL,Compact,01037,Coosa County,02
01,AL,Compact,01039,Covington County,01
01,AL,Compact,01041,Crenshaw County,07
01,AL,Compact,01043,Cullman County,04
01,AL,Compact,01045,Dale County,02
01,AL,Compact,01047,Dallas County,07
01,AL,Compact,01049,DeKalb County,03
01,AL,Compact,01051,Elmore County,02
01,AL,Compact,01051,Elmore County,07
01,AL,Compact,01053,Escambia County,01
01,AL,Compact,01055,Etowah County,03
01,AL,Compact,01057,Fayette County,04
01,AL,Compact,01059,Franklin County,04
01,AL,Compact,01061,Geneva County,02
01,AL,Compact,01063,Greene County,07
01,AL,Compact,01065,Hale County,07
01,AL,Compact,01067,Henry County,02
01,AL,Compact,01069,Houston County,02
01,AL,Compact,01071,Jackson County,05
01,AL,Compact,01073,Jefferson County,06
01,AL,Compact,01075,Lamar County,04
01,AL,Compact,01077,Lauderdale County,04
01,AL,Compact,01079,Lawrence County,04
01,AL,Compact,01081,Lee County,02
01,AL,Compact,01083,Limestone County,05
01,AL,Compact,01085,Lowndes County,07
01,AL,Compact,01087,Macon County,02
01,AL,Compact,01089,Madison County,05
01,AL,Compact,01091,Marengo County,07
01,AL,Compact,01093,Marion County,04
01,AL,Compact,01095,Marshall County,05
01,AL,Compact,01097,Mobile County,01
01,AL,Compact,01099,Monroe County,07
01,AL,Compact,01101,Montgomery County,07
01,AL,Compact,01103,Morgan County,05
01,AL,Compact,01105,Perry County,07
01,AL,Compact,01107,Pickens County,04
01,AL,Compact,01109,Pike County,02
01,AL,Compact,01111,Randolph County,02
01,AL,Compact,01113,Russell County,02
01,AL,Compact,01117,Shelby County,03
01,AL,Compact,01117,Shelby County,06
01,AL,Compact,01115,St. Clair County,03
01,AL,Compact,01119,Sumter County,07
01,AL,Compact,01121,Talladega County,03
01,AL,Compact,01123,Tallapoosa County,02
01,AL,Compact,01125,Tuscaloosa County,04
01,AL,Compact,01125,Tuscaloosa County,07
01,AL,Compact,01127,Walker County,04
01,AL,Compact,01129,Washington County,07
01,AL,Compact,01131,Wilcox County,07
01,AL,Compact,01133,Winston County,04
04,AZ,Compact,04001,Apache County,01
04,AZ,Compact,04003,Cochise County,03
04,AZ,Compact,04005,Coconino County,01
04,AZ,Compact,04007,Gila County,04
04,AZ,Compact,04009,Graham County,03
04,AZ,Compact,04011,Greenlee County,03
04,AZ,Compact,04012,La Paz County,04
04,AZ,Compact,04013,Maricopa County,07
04,AZ,Compact,04013,Maricopa County,09
04,AZ,Compact,04013,Maricopa County,08
04,AZ,Compact,04013,Maricopa County,04
04,AZ,Compact,04013,Maricopa County,05
04,AZ,Compact,04013,Maricopa County,06
04,AZ,Compact,04015,Mohave County,01
04,AZ,Compact,04017,Navajo County,01
04,AZ,Compact,04019,Pima County,03
04,AZ,Compact,04019,Pima County,02
04,AZ,Compact,04021,Pinal County,04
04,AZ,Compact,04021,Pinal County,03
04,AZ,Compact,04023,Santa Cruz County,03
04,AZ,Compact,04025,Yavapai County,01
04,AZ,Compact,04025,Yavapai County,04
04,AZ,Compact,04027,Yuma County,04
05,AR,Compact,05001,Arkansas County,01
05,AR,Compact,05001,Arkansas County,04
05,AR,Compact,05003,Ashley County,04
05,AR,Compact,05005,Baxter County,01
05,AR,Compact,05007,Benton County,03
05,AR,Compact,05009,Boone County,01
05,AR,Compact,05011,Bradley County,04
05,AR,Compact,05013,Calhoun County,04
05,AR,Compact,05015,Carroll County,03
05,AR,Compact,05015,Carroll County,01
05,AR,Compact,05017,Chicot County,04
05,AR,Compact,05019,Clark County,04
05,AR,Compact,05021,Clay County,01
05,AR,Compact,05023,Cleburne County,01
05,AR,Compact,05025,Cleveland County,04
05,AR,Compact,05027,Columbia County,04
05,AR,Compact,05029,Conway County,02
05,AR,Compact,05031,Craighead County,01
05,AR,Compact,05033,Crawford County,03
05,AR,Compact,05035,Crittenden County,01
05,AR,Compact,05037,Cross County,01
05,AR,Compact,05039,Dallas County,04
05,AR,Compact,05041,Desha County,04
05,AR,Compact,05043,Drew County,04
05,AR,Compact,05045,Faulkner County,02
05,AR,Compact,05047,Franklin County,03
05,AR,Compact,05049,Fulton County,01
05,AR,Compact,05051,Garland County,04
05,AR,Compact,05053,Grant County,04
05,AR,Compact,05055,Greene County,01
05,AR,Compact,05057,Hempstead County,04
05,AR,Compact,05059,Hot Spring County,04
05,AR,Compact,05061,Howard County,04
05,AR,Compact,05063,Independence County,01
05,AR,Compact,05065,Izard County,01
05,AR,Compact,05067,Jackson County,01
05,AR,Compact,05069,Jefferson County,04
05,AR,Compact,05071,Johnson County,03
05,AR,Compact,05073,Lafayette County,04
05,AR,Compact,05075,Lawrence County,01
05,AR,Compact,05077,Lee County,01
05,AR,Compact,05079,Lincoln County,04
05,AR,Compact,05081,Little River County,04
05,AR,Compact,05083,Logan County,03
05,AR,Compact,05085,Lonoke County,02
05,AR,Compact,05087,Madison County,03
05,AR,Compact,05089,Marion County,01
05,AR,Compact,05091,Miller County,04
05,AR,Compact,05093,Mississippi County,01
05,AR,Compact,05095,Monroe County,01
05,AR,Compact,05097,Montgomery County,04
05,AR,Compact,05099,Nevada County,04
05,AR,Compact,05101,Newton County,01
05,AR,Compact,05103,Ouachita County,04
05,AR,Compact,05105,Perry County,02
05,AR,Compact,05107,Phillips County,01
05,AR,Compact,05109,Pike County,04
05,AR,Compact,05111,Poinsett County,01
05,AR,Compact,05113,Polk County,04
05,AR,Compact,05115,Pope County,02
05,AR,Compact,05117,Prairie County,01
05,AR,Compact,05119,Pulaski County,02
05,AR,Compact,05121,Randolph County,01
05,AR,Compact,05125,Saline County,04
05,AR,Compact,05127,Scott County,03
05,AR,Compact,05129,Searcy County,01
05,AR,Compact,05131,Sebastian County,03
05,AR,Compact,05133,Sevier County,04
05,AR,Compact,05135,Sharp County,01
05,AR,Compact,05123,St. Francis County,01
05,AR,Compact,05137,Stone County,01
05,AR,Compact,05139,Union County,04
05,AR,Compact,05141,Van Buren County,01
05,AR,Compact,05143,Washington County,03
05,AR,Compact,05145,White County,01
05,AR,Compact,05145,White County,02
05,AR,Compact,05147,Woodruff County,01
05,AR,Compact,05149,Yell County,02
06,CA,Compact,06001,Alameda County,15
06,CA,Compact,06001,Alameda County,13
06,CA,Compact,06001,Alameda County,17
06,CA,Compact,06003,Alpine County,16
06,CA,Compact,06005,Amador County,16
06,CA,Compact,06007,Butte County,05
06,CA,Compact,06007,Butte County,01
06,CA,Compact,06009,Calaveras County,16
06,CA,Compact,06011,Colusa County,05
06,CA,Compact,06013,Contra Costa County,03
06,CA,Compact,06013,Contra Costa County,15
06,CA,Compact,06013,Contra Costa County,11
06,CA,Compact,06015,Del Norte County,01
06,CA,Compact,06017,El Dorado County,04
06,CA,Compact,06019,Fresno County,16
06,CA,Compact,06019,Fresno County,21
06,CA,Compact,06021,Glenn County,05
06,CA,Compact,06023,Humboldt County,01
06,CA,Compact,06025,Imperial County,36
06,CA,Compact,06027,Inyo County,16
06,CA,Compact,06029,Kern County,22
06,CA,Compact,06029,Kern County,23
06,CA,Compact,06031,Kings County,22
06,CA,Compact,06033,Lake County,05
06,CA,Compact,06035,Lassen County,01
06,CA,Compact,06037,Los Angeles County,47
06,CA,Compact,06037,Los Angeles County,43
06,CA,Compact,06037,Los Angeles County,44
06,CA,Compact,06037,Los Angeles County,40
06,CA,Compact,06037,Los Angeles County,38
06,CA,Compact,06037,Los Angeles County,37
06,CA,Compact,06037,Los Angeles County,35
06,CA,Compact,06037,Los Angeles County,34
06,CA,Compact,06037,Los Angeles County,33
06,CA,Compact,06037,Los Angeles County,32
06,CA,Compact,06037,Los Angeles County,30
06,CA,Compact,06037,Los Angeles County,29
06,CA,Compact,06037,Los Angeles County,28
06,CA,Compact,06037,Los Angeles County,27
06,CA,Compact,06037,Los Angeles County,25
06,CA,Compact,06039,Madera County,16
06,CA,Compact,06041,Marin County,02
06,CA,Compact,06043,Mariposa County,16
06,CA,Compact,06045,Mendocino County,05
06,CA,Compact,06047,Merced County,10
06,CA,Compact,06047,Merced County,16
06,CA,Compact,06049,Modoc County,01
06,CA,Compact,06051,Mono County,16
06,CA,Compact,06053,Monterey County,20
06,CA,Compact,06055,Napa County,05
06,CA,Compact,06057,Nevada County,04
06,CA,Compact,06059,Orange County,49
06,CA,Compact,06059,Orange County,39
06,CA,Compact,06059,Orange County,45
06,CA,Compact,06059,Orange County,46
06,CA,Compact,06059,Orange County,48
06,CA,Compact,06061,Placer County,04
06,CA,Compact,06063,Plumas County,01
06,CA,Compact,06065,Riverside County,49
06,CA,Compact,06065,Riverside County,42
06,CA,Compact,06065,Riverside County,41
06,CA,Compact,06065,Riverside County,36
06,CA,Compact,06065,Riverside County,35
06,CA,Compact,06067,Sacramento County,09
06,CA,Compact,06067,Sacramento County,03
06,CA,Compact,06067,Sacramento County,06
06,CA,Compact,06067,Sacramento County,07
06,CA,Compact,06069,San Benito County,20
06,CA,Compact,06071,San Bernardino County,31
06,CA,Compact,06071,San Bernardino County,08
06,CA,Compact,06071,San Bernardino County,16
06,CA,Compact,06071,San Bernardino County,35
06,CA,Compact,06073,San Diego County,50
06,CA,Compact,06073,San Diego County,49
06,CA,Compact,06073,San Diego County,51
06,CA,Compact,06073,San Diego County,52
06,CA,Compact,06073,San Diego County,53
06,CA,Compact,06075,San Francisco County,14
06,CA,Compact,06075,San Francisco County,12
06,CA,Compact,06077,San Joaquin County,09
06,CA,Compact,06079,San Luis Obispo County,24
06,CA,Compact,06081,San Mateo County,14
06,CA,Compact,06081,San Mateo County,15
06,CA,Compact,06083,Santa Barbara County,24
06,CA,Compact,06085,Santa Clara County,18
06,CA,Compact,06085,Santa Clara County,15
06,CA,Compact,06085,Santa Clara County,19
