statefp,state,maptype,districts,county_splits,efficiency_gap,efficiency_gap_extra_seats,district_perimeters,state_perimeter,interior_perimeter_measure,compactness_rank
02,AK,Compact,1,0,,,,,,
02,AK,Competitive,1,0,,,,,,
02,AK,Dem,1,0,,,,,,
02,AK,GOP,1,0,,,,,,
02,AK,MajMin,1,0,,,,,,
02,AK,Proportional,1,0,,,,,,
02,AK,algorithmic-compact,1,0,,,,,,
02,AK,current,1,0,,,,,,
01,AL,Compact,7,5,-0.05672632011955167,D+0,55.39690605463473,18.9856138628614,18.205646095886664,1
01,AL,Competitive,7,12,-0.05699569509355648,D+0,73.89599711857079,18.9856138628614,27.455191627854695,6
01,AL,Dem,7,8,-0.04399299000391407,D+0,71.83942762011439,18.9856138628614,26.426906878626497,3
01,AL,GOP,7,8,0.09669504082710331,R+1,79.91390598364093,18.9856138628614,30.464146060389766,7
01,AL,MajMin,7,8,-0.04399299000391407,D+0,71.83942762011439,18.9856138628614,26.426906878626497,3
01,AL,Proportional,7,8,-0.04399299000391407,D+0,71.83942762011439,18.9856138628614,26.426906878626497,3
01,AL,algorithmic-compact,7,34,0.16917994452562082,R+1,57.964160459530774,18.9856138628614,19.489273298334687,2
01,AL,current,7,8,0.09669504082710331,R+1,79.91390598364093,18.9856138628614,30.464146060389766,7
05,AR,Compact,4,3,0.235613491920536,R+1,44.59385925398951,21.8590555111018,11.367401871443853,1
05,AR,Competitive,4,0,-0.01827122242192808,D+0,48.184547043093445,21.8590555111018,13.162745765995822,2
05,AR,Dem,4,5,0.0007474065957177763,R+0,49.12932939730764,21.8590555111018,13.635136943102921,4
05,AR,GOP,4,5,0.23561322506147947,R+1,57.75936893376385,21.8590555111018,17.950156711331026,6
05,AR,MajMin,4,28,0.008444135020374985,R+0,103.49248588719004,21.8590555111018,40.81671518804412,8
05,AR,Proportional,4,5,0.0007474065957177763,R+0,49.12932939730764,21.8590555111018,13.635136943102921,4
05,AR,algorithmic-compact,4,21,0.23561110094768375,R+1,48.49551009243392,21.8590555111018,13.318227290666059,3
05,AR,current,4,5,0.23561322506147947,R+1,57.75936893376385,21.8590555111018,17.950156711331026,6
04,AZ,Compact,9,8,0.1914594878495574,R+2,69.22074660387733,23.841907647549,22.689419478164165,1
04,AZ,Competitive,9,13,-0.11270184383778824,D+1,85.61487693596544,23.841907647549,30.88648464420822,5
